Ambient Air Tenperature (°C);Pipe Surface Temperature (°C);Water Leakage;Date;Time
23.48 ; 35.49 ; Hot Water Leak;2017-01-18;01:47:20pm
23.47 ; 35.49 ; Hot Water Leak;2017-01-18;01:47:22pm
23.47 ; 35.50 ; Hot Water Leak;2017-01-18;01:47:23pm
23.47 ; 35.51 ; Hot Water Leak;2017-01-18;01:47:24pm
23.45 ; 35.51 ; Hot Water Leak;2017-01-18;01:47:25pm
23.47 ; 35.52 ; Hot Water Leak;2017-01-18;01:47:26pm
23.45 ; 35.53 ; Hot Water Leak;2017-01-18;01:47:28pm
23.43 ; 35.53 ; Hot Water Leak;2017-01-18;01:47:29pm
23.44 ; 35.54 ; Hot Water Leak;2017-01-18;01:47:30pm
23.44 ; 35.54 ; Hot Water Leak;2017-01-18;01:47:31pm
23.43 ; 35.56 ; Hot Water Leak;2017-01-18;01:47:33pm
23.44 ; 35.58 ; Hot Water Leak;2017-01-18;01:47:34pm
23.44 ; 35.60 ; Hot Water Leak;2017-01-18;01:47:35pm
23.46 ; 35.61 ; Hot Water Leak;2017-01-18;01:47:36pm
23.47 ; 35.61 ; Hot Water Leak;2017-01-18;01:47:37pm
23.47 ; 35.63 ; Hot Water Leak;2017-01-18;01:47:39pm
23.48 ; 35.62 ; Hot Water Leak;2017-01-18;01:47:40pm
23.49 ; 35.65 ; Hot Water Leak;2017-01-18;01:47:41pm
23.51 ; 35.66 ; Hot Water Leak;2017-01-18;01:47:42pm
23.52 ; 35.68 ; Hot Water Leak;2017-01-18;01:47:44pm
23.52 ; 35.70 ; Hot Water Leak;2017-01-18;01:47:45pm
23.55 ; 35.71 ; Hot Water Leak;2017-01-18;01:47:46pm
23.55 ; 35.73 ; Hot Water Leak;2017-01-18;01:47:47pm
23.57 ; 35.72 ; Hot Water Leak;2017-01-18;01:47:48pm
23.58 ; 35.72 ; Hot Water Leak;2017-01-18;01:47:50pm
23.59 ; 35.73 ; Hot Water Leak;2017-01-18;01:47:51pm
23.61 ; 35.74 ; Hot Water Leak;2017-01-18;01:47:52pm
23.62 ; 35.74 ; Hot Water Leak;2017-01-18;01:47:53pm
23.62 ; 35.75 ; Hot Water Leak;2017-01-18;01:47:55pm
23.63 ; 35.75 ; Hot Water Leak;2017-01-18;01:47:56pm
23.65 ; 35.74 ; Hot Water Leak;2017-01-18;01:47:57pm
23.66 ; 35.76 ; Hot Water Leak;2017-01-18;01:47:58pm
23.66 ; 35.73 ; Hot Water Leak;2017-01-18;01:47:59pm
23.67 ; 35.75 ; Hot Water Leak;2017-01-18;01:48:01pm
23.66 ; 35.75 ; Hot Water Leak;2017-01-18;01:48:02pm
23.66 ; 35.77 ; Hot Water Leak;2017-01-18;01:48:03pm
23.67 ; 35.80 ; Hot Water Leak;2017-01-18;01:48:04pm
23.65 ; 35.79 ; Hot Water Leak;2017-01-18;01:48:06pm
23.66 ; 35.80 ; Hot Water Leak;2017-01-18;01:48:07pm
23.66 ; 35.81 ; Hot Water Leak;2017-01-18;01:48:08pm
23.66 ; 35.82 ; Hot Water Leak;2017-01-18;01:48:09pm
23.63 ; 35.81 ; Hot Water Leak;2017-01-18;01:48:10pm
23.64 ; 35.82 ; Hot Water Leak;2017-01-18;01:48:12pm
23.66 ; 35.82 ; Hot Water Leak;2017-01-18;01:48:13pm
23.65 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:14pm
23.65 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:15pm
23.63 ; 35.83 ; Hot Water Leak;2017-01-18;01:48:17pm
23.64 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:18pm
23.62 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:19pm
23.62 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:20pm
23.63 ; 35.83 ; Hot Water Leak;2017-01-18;01:48:21pm
23.61 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:23pm
23.62 ; 35.83 ; Hot Water Leak;2017-01-18;01:48:24pm
23.62 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:25pm
23.62 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:26pm
23.64 ; 35.85 ; Hot Water Leak;2017-01-18;01:48:28pm
23.64 ; 35.85 ; Hot Water Leak;2017-01-18;01:48:29pm
23.65 ; 35.86 ; Hot Water Leak;2017-01-18;01:48:30pm
23.67 ; 35.88 ; Hot Water Leak;2017-01-18;01:48:31pm
23.68 ; 35.89 ; Hot Water Leak;2017-01-18;01:48:32pm
23.67 ; 35.89 ; Hot Water Leak;2017-01-18;01:48:34pm
23.67 ; 35.88 ; Hot Water Leak;2017-01-18;01:48:35pm
23.67 ; 35.88 ; Hot Water Leak;2017-01-18;01:48:36pm
23.67 ; 35.88 ; Hot Water Leak;2017-01-18;01:48:37pm
23.67 ; 35.88 ; Hot Water Leak;2017-01-18;01:48:38pm
23.67 ; 35.87 ; Hot Water Leak;2017-01-18;01:48:40pm
23.66 ; 35.87 ; Hot Water Leak;2017-01-18;01:48:41pm
23.65 ; 35.87 ; Hot Water Leak;2017-01-18;01:48:42pm
23.65 ; 35.86 ; Hot Water Leak;2017-01-18;01:48:43pm
23.64 ; 35.85 ; Hot Water Leak;2017-01-18;01:48:45pm
23.63 ; 35.85 ; Hot Water Leak;2017-01-18;01:48:46pm
23.62 ; 35.85 ; Hot Water Leak;2017-01-18;01:48:47pm
23.63 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:48pm
23.61 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:49pm
23.61 ; 35.83 ; Hot Water Leak;2017-01-18;01:48:51pm
23.61 ; 35.83 ; Hot Water Leak;2017-01-18;01:48:52pm
23.60 ; 35.84 ; Hot Water Leak;2017-01-18;01:48:53pm
23.60 ; 35.82 ; Hot Water Leak;2017-01-18;01:48:54pm
23.59 ; 35.82 ; Hot Water Leak;2017-01-18;01:48:56pm
23.60 ; 35.83 ; Hot Water Leak;2017-01-18;01:48:57pm
23.60 ; 35.83 ; Hot Water Leak;2017-01-18;01:48:58pm
23.59 ; 35.81 ; Hot Water Leak;2017-01-18;01:48:59pm
23.58 ; 35.82 ; Hot Water Leak;2017-01-18;01:49:00pm
23.58 ; 35.82 ; Hot Water Leak;2017-01-18;01:49:02pm
23.58 ; 35.80 ; Hot Water Leak;2017-01-18;01:49:03pm
23.57 ; 35.80 ; Hot Water Leak;2017-01-18;01:49:04pm
23.57 ; 35.80 ; Hot Water Leak;2017-01-18;01:49:05pm
23.56 ; 35.80 ; Hot Water Leak;2017-01-18;01:49:07pm
23.58 ; 35.79 ; Hot Water Leak;2017-01-18;01:49:08pm
23.57 ; 35.80 ; Hot Water Leak;2017-01-18;01:49:09pm
